x_g,y_g,z_g,x_e,y_e,z_e,quat_g_w,quat_g_x,quat_g_y,quat_g_z,quat_e_w,quat_e_x,quat_e_y,quat_e_z,joint_1,joint_2,joint_3,joint_4,waypoint_idx,progress
0.582700252532959,-0.032700225710868835,-0.07000000029802322,0.5819785594940186,-0.04160251095890999,-0.0742592141032219,1.0,0.0,0.0,0.0,-0.9993512630462646,-0.0001767277717590332,-0.004954708740115166,0.03567349910736084,-0.07136310636997223,-0.6114023923873901,0.43847841024398804,-1.0399646759033203,470,0.38152128933596524
0.5821349024772644,-0.03213486820459366,-0.07000000029802322,0.5815076231956482,-0.04109499976038933,-0.07424874603748322,1.0,0.0,0.0,0.0,-0.9993655681610107,-0.00017440319061279297,-0.004944328218698502,0.035268425941467285,-0.07055246829986572,-0.6108540892601013,0.44078928232192993,-1.0417485237121582,472,0.3831053823854593
0.5818521976470947,-0.03185218945145607,-0.07000000029802322,0.5810185074806213,-0.0405946746468544,-0.07423631846904755,1.0,0.0,0.0,0.0,-0.9993797540664673,-0.0001716017723083496,-0.0049226414412260056,0.03486979007720947,-0.06975474208593369,-0.6102838516235352,0.44319289922714233,-1.0436251163482666,473,0.3843634701695671
0.5812868475914001,-0.03128684312105179,-0.07000000029802322,0.5805634260177612,-0.040113262832164764,-0.07422181963920593,1.0,0.0,0.0,0.0,-0.9993929862976074,-0.00016999244689941406,-0.004928780719637871,0.0344846248626709,-0.06898390501737595,-0.6097525358200073,0.4453960657119751,-1.0452854633331299,475,0.3859875333987322
0.5804387927055359,-0.030438806861639023,-0.07000000029802322,0.5801112651824951,-0.039648305624723434,-0.07420845329761505,1.0,0.0,0.0,0.0,-0.9994058609008789,-0.00016742944717407227,-0.004906732589006424,0.03411281108856201,-0.06823993474245071,-0.6092252135276794,0.44761353731155396,-1.0470194816589355,478,0.3876927954331964
0.580156147480011,-0.030156128108501434,-0.07000000029802322,0.5795696377754211,-0.0391581766307354,-0.07419919222593307,1.0,0.0,0.0,0.0,-0.9994193315505981,-0.00016385316848754883,-0.0048575811088085175,0.03372395038604736,-0.06746145337820053,-0.6086098551750183,0.4502752423286438,-1.049164056777954,479,0.3892769465648116
0.5795907974243164,-0.029590779915452003,-0.07000000029802322,0.5790320038795471,-0.03864763304591179,-0.07419323921203613,1.0,0.0,0.0,0.0,-0.9994329214096069,-0.00016254186630249023,-0.004877753555774689,0.03331649303436279,-0.06664625555276871,-0.6080170273780823,0.4528297483921051,-1.0510855913162231,481,0.3908604200716806
0.5790254473686218,-0.029025424271821976,-0.07000000029802322,0.5785112380981445,-0.03813043609261513,-0.07418617606163025,1.0,0.0,0.0,0.0,-0.9994466304779053,-0.00016051530838012695,-0.0048806332051754,0.032901644706726074,-0.06581609696149826,-0.6074379086494446,0.4553300142288208,-1.0530014038085938,483,0.3921394077390312
0.5784600973129272,-0.028460076078772545,-0.07000000029802322,0.5779858231544495,-0.037601035088300705,-0.07417827844619751,1.0,0.0,0.0,0.0,-0.9994605779647827,-0.0001583695411682129,-0.004874741658568382,0.03247570991516113,-0.06496379524469376,-0.6068531274795532,0.45785996317863464,-1.0549583435058594,485,0.39341838572602833
0.5778947472572327,-0.027894720435142517,-0.07000000029802322,0.5774503946304321,-0.03705739974975586,-0.07416993379592896,1.0,0.0,0.0,0.0,-0.999474823474884,-0.00015592575073242188,-0.004867732524871826,0.032037198543548584,-0.06408634036779404,-0.606258749961853,0.46043625473976135,-1.056955099105835,487,0.3950222654181108
0.5773293972015381,-0.02732936292886734,-0.07000000029802322,0.5769063830375671,-0.03650011494755745,-0.07416284084320068,1.0,0.0,0.0,0.0,-0.9994891881942749,-0.00015360116958618164,-0.004862416535615921,0.031586527824401855,-0.06318443268537521,-0.6056596040725708,0.46304914355278015,-1.0589796304702759,489,0.3966259999048905
0.5770466923713684,-0.02704669162631035,-0.07000000029802322,0.5763557553291321,-0.03593111410737038,-0.07415705919265747,1.0,0.0,0.0,0.0,-0.9995036125183105,-0.00015121698379516602,-0.004859399050474167,0.031125187873840332,-0.06226139888167381,-0.6050590872764587,0.46568620204925537,-1.0610215663909912,490,0.3982095411742341
0.5764813423156738,-0.02648133598268032,-0.07000000029802322,0.5758605599403381,-0.03537652641534805,-0.07414759695529938,1.0,0.0,0.0,0.0,-0.999517560005188,-0.00014972686767578125,-0.00488240085542202,0.030672430992126465,-0.061355262994766235,-0.6045148968696594,0.46803197264671326,-1.0627774000167847,492,0.3994884901201707
0.5759159922599792,-0.025915978476405144,-0.07000000029802322,0.5753881931304932,-0.034844640642404556,-0.0741375982761383,1.0,0.0,0.0,0.0,-0.9995308518409729,-0.00014722347259521484,-0.004870180040597916,0.030237257480621338,-0.06048465892672539,-0.6039904356002808,0.4703109860420227,-1.0645562410354614,494,0.4010926215014446
0.5753506422042847,-0.025350632146000862,-0.07000000029802322,0.574898898601532,-0.034323420375585556,-0.07412853837013245,1.0,0.0,0.0,0.0,-0.9995436668395996,-0.00014454126358032227,-0.004849251359701157,0.029811501502990723,-0.05963248014450073,-0.6034514904022217,0.47267043590545654,-1.0664191246032715,496,0.4023509609747438
0.5747852921485901,-0.024785274639725685,-0.07000000029802322,0.574384331703186,-0.03380310535430908,-0.07411997765302658,1.0,0.0,0.0,0.0,-0.9995563626289368,-0.00014197826385498047,-0.004831884056329727,0.029386937618255615,-0.05878308042883873,-0.6028919219970703,0.47513318061828613,-1.068356990814209,498,0.4039341343906538
0.5742199420928955,-0.024219926446676254,-0.07000000029802322,0.5738493800163269,-0.03327713906764984,-0.07411196827888489,1.0,0.0,0.0,0.0,-0.9995689392089844,-0.00013959407806396484,-0.004821199923753738,0.028957724571228027,-0.0579243041574955,-0.6023160815238953,0.4776766002178192,-1.0703457593917847,500,0.405518004792017
0.5739372372627258,-0.023937249556183815,-0.07000000029802322,0.573300838470459,-0.03274146839976311,-0.0741041749715805,1.0,0.0,0.0,0.0,-0.9995814561843872,-0.0001373887062072754,-0.0048162005841732025,0.02851998805999756,-0.057048313319683075,-0.601730227470398,0.48027023673057556,-1.0723642110824585,501,0.4067760441743572
